CameraName,CameraSpecsUrl,MSRP,Body type,Max resolution,Image ratio w:h,Effective pixels,Sensor photo detectors,Sensor size,Sensor type,Processor,ISO,Boosted ISO (minimum),Boosted ISO (maximum),White balance presets,Custom white balance,Image stabilization,CIPA image stabilization rating,Uncompressed format,JPEG quality levels,Autofocus,Manual focus,Number of focus points,Lens mount,Focal length multiplier,Articulated LCD,Screen size,Screen dots,Touch screen,Screen type,Live view,Viewfinder type,Viewfinder coverage,Viewfinder magnification,Viewfinder resolution,Minimum shutter speed,Maximum shutter speed,Maximum shutter speed (electronic),Aperture priority,Shutter priority,Manual exposure mode,Built-in flash,External flash,Continuous drive,Self-timer,Metering modes,Exposure compensation,AE Bracketing,Format,Modes,Microphone,Speaker,Storage types,USB,USB charging,HDMI,Microphone port,Headphone port,Wireless,Wireless notes,Remote control,Environmentally sealed,Battery,Battery description,Battery Life (CIPA),Weight (inc. batteries),Dimensions,Orientation sensor,Timelapse recording,GPS,,,
Canon PowerShot SX120 IS,https://www.dpreview.com/products/canon/compacts/canon_sx120is/specifications,Compact,3648 x 2736,"3648 x 2048, 2816 x 2112, 2272 x 1704, 1600 x 1200, 640 x 480, 3456 x 1944","4:3, 3:2",10 megapixels,10 megapixels,"1/2.5"" (5.744 x 4.308 mm)",CCD,Digic 4,"Auto, 80 ,100, 200, 400, 800, 1600",5,Yes,Optical,No,"Fine, Normal",36–360 mm,10×,F2.8–4.3,Contrast Detect (sensor)SingleLive View,Yes (4x),Yes,1 cm (0.39″),Fixed,3″,230000,No,Yes,None,15 sec,1/2500 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),3.00 m,No,"Auto, On, Off, Red-Eye, Slow Sync, Fill-in",0.9 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps), 320 x 240 (30 fps), 160 x 120 (15 fps)",Motion JPEG,Mono,"SD, SDHC, MMC, MMCplus, HC MMCplus",128 MB SD card,USB 2.0 (480 Mbit/sec),No,No,No,AA,2 x AA batteries (NiMH recommended),285 g (0.63 lb / 10.05 oz),111 x 71 x 45 mm (4.37 x 2.8 x 1.77″),Yes,No,,,,,,,,,,,,,,
Canon EOS 500D (EOS Rebel T1i / EOS Kiss X3),https://www.dpreview.com/products/canon/slrs/canon_eos500d/specifications,Compact SLR,4752 x 3168,"3456 x 2304, 2353 x 1568",3:2,15 megapixels,16 megapixels,APS-C (22.3 x 14.9 mm),CMOS,Digic 4,"Auto, 100, 200,  400, 800, 1600, 3200  (6400-12800 with boost)",12800,6,Yes,No,RAW,"Fine, Normal",Contrast Detect (sensor)Phase DetectMulti-areaSelective single-pointSingleContinuousFace DetectionLive View,No,Yes,9,Canon EF/EF-S,1.6×,Fixed,3″,920000,No,TFT color LCD,Yes,Optical (pentamirror),95%,0.87× (0.54× 35mm equiv.),30 sec,1/4000 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),13.00 m,"Yes (Hot-shoe, E-TTL II)","Auto, On, Off,  Red-eye",3.4 fps,Yes (2 sec or 10 sec),MultiCenter-weightedSpot,"±2 (at 1/3 EV, 1/2 EV steps)","±2 (3 frames at 1/3 EV, 1/2 EV steps)",Yes (3 frames in either blue/amber or magenta/green axis),"1920 x 1080 (20 fps), 1280 x 720 (30 fps), 640 x 480 (30 fps)",H.264,Mono,SD/SDHC,None,USB 2.0 (480 Mbit/sec),Yes (HDMI mini),Eye-Fi Connected,"Yes (E3 connector, InfraRed)",No,Battery Pack,Lithium-Ion LP-E5 rechargeable battery & charger,440,520 g (1.15 lb / 18.34 oz),129 x 98 x 62 mm (5.08 x 3.86 x 2.44″),Yes,Yes (by USB cable and PC),None,,,,,,
Canon PowerShot D10,https://www.dpreview.com/products/canon/compacts/canon_d10/specifications,Compact,4000 x 3000,"4000 x 2248, 3264 x 2448, 2592 x 1944, 1600 x 1200, 640 x 480, 320 x 140","4:3, 16:9",12 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto, 80 ,100, 200, 400, 800, 1600, 3200",6,Yes,Optical,No,35–105 mm,3×,F2.8–4.9,Contrast Detect (sensor)Multi-areaSingleFace DetectionLive View,Yes (4x),Yes,3 cm (1.18″),9,Fixed,2.5″,230000,No,Yes,None,15 sec,1/5000 sec,No,No,No,Yes,Yes,3.20 m,No,"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",1.1 fps,"Yes (2, 10, Custom, Face)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps), 320  x 240 (30 fps)",Motion JPEG,Mono,SD/SDHC/MMC/MMCplus,Unknown,USB 2.0 (480 Mbit/sec),No,Yes,Waterproof,Battery Pack,Lithium-Ion NB-6L battery & charger,190 g (0.42 lb / 6.70 oz),104 x 67 x 49 mm (4.09 x 2.64 x 1.93″),None,,,,,,,,,,,,,,,,,
Canon PowerShot SX200 IS,https://www.dpreview.com/products/canon/compacts/canon_sx200is/specifications,Compact,4000 x 3000,"4000 x 2248, 3264 x 2448, 2592 x 1944, 1600 x 1200, 640 x 480, 320 x 140","4:3, 16:9",12 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto, 80 ,100, 200, 400, 800, 1600",5,Yes,Optical,No,"Fine, Normal",28–336 mm,12×,F3.4–5.3,Contrast Detect (sensor)SingleLive View,Yes (4x),Yes,0 cm (0″),9,Fixed,3″,230000,No,Yes,None,15 sec,1/3200 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),3.20 m,No,"Auto, On, Off, Red-eye, Fill-in, Slow Syncro, Manual",0.8 fps,"Yes (2 sec or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (30 fps), 640 x 480 (30 fps), 320 x 240 (30 fps)",Motion JPEG,Mono,SD/SDHC/MMC/MMCplus/MMCplus HC,Unknown,USB 2.0 (480 Mbit/sec),Yes,No,Battery Pack,Lithium-Ion NB-5L battery & charger,247 g (0.54 lb / 8.71 oz),103 x 61 x 38 mm (4.06 x 2.4 x 1.5″),Yes,None,,,,,,,,,,,,,,,,
Canon PowerShot SD960 IS / Digital IXUS 110 IS,https://www.dpreview.com/products/canon/compacts/canon_sd960is/specifications,Compact,4000 x 3000,"4000 x 2248, 3264 x 2448, 2592 x 1944, 1600 x 1200, 640 x 480, 320 x 140","4:3, 16:9",12 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto, 80 ,100, 200, 400, 800, 1600",6,Yes,Optical,No,"Super-Fine, Fine, Normal",28–112 mm,4×,F2.8–5.8,Contrast Detect (sensor)Multi-areaSingleFace DetectionLive View,Yes (4x),No,2 cm (0.79″),9,Fixed,2.8″,230000,No,No,None,15 sec,1/1600 sec,No,No,No,Yes,Yes,4.00 m,No,"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",0.8 fps,"Yes (2, 10, Custom, Face)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (30 fps), 640 x 480 (30 fps), 320 x 240 (30 fps)",Motion JPEG,Mono,SD/SDHC/MMC/MMCplus/HD /MMCplus,USB 2.0 (480 Mbit/sec),Yes,No,Battery Pack,Lithium-Ion NB-4L battery & charger,145 g (0.32 lb / 5.11 oz),98 x 54 x 22 mm (3.86 x 2.13 x 0.87″),Yes,,,,,,,,,,,,,,,,,,
Canon PowerShot SD970 IS / Digital IXUS 990 IS,https://www.dpreview.com/products/canon/compacts/canon_sd970is/specifications,Compact,4000 x 3000,"4000 x 2248, 3264 x 2448, 2592 x 1944, 1600 x 1200, 640 x 480, 320 x 140","4:3, 16:9",12 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto, 80 ,100, 200, 400, 800, 1600",6,Yes,Optical,No,"Super-Fine, Fine, Normal",37–185 mm,5×,F3.2–5.7,Contrast Detect (sensor)Multi-areaSingleFace DetectionLive View,Yes (4x),No,2 cm (0.79″),9,Fixed,3″,461000,No,No,None,15 sec,1/1600 sec,No,No,No,Yes,Yes,3.50 m,No,"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",1.0 fps,"Yes (2, 10, Custom, Face)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (30 fps), 640 x 480 (30 fps), 320 x 240 (30 fps)",Motion JPEG,Mono,SD/SDHC/MMC/MMCplus/HD /MMCplus,USB 2.0 (480 Mbit/sec),Yes,No,Battery Pack,Lithium-Ion NB-5L battery & charger,160 g (0.35 lb / 5.64 oz),96 x 57 x 26 mm (3.78 x 2.24 x 1.02″),Yes,,,,,,,,,,,,,,,,,,
Canon PowerShot SD1200 IS (Digital IXUS 95 IS),https://www.dpreview.com/products/canon/compacts/canon_sd1200is/specifications,Compact,3648 x 2736,"3648 x 2048, 2816 x 2112, 2272 x 1704, 1600 x 1200, 640 x 480","4:3, 16:9",10 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto, 80 ,100, 200, 400, 800, 1600",6,Yes,Optical,No,"Fine, Normal",35–105 mm,3×,F2.8–4.9,Contrast Detect (sensor)Multi-areaSingleFace DetectionLive View,Yes (4x),No,3 cm (1.18″),9,Fixed,2.5″,230000,No,No,Optical (tunnel),15 sec,1/1500 sec,No,No,No,Yes,Yes,3.50 m,No,"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",1.4 fps,"Yes (2, 10, Custom, Face)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps), 320  x 240 (30 fps)",Motion JPEG,Mono,SD/SDHC/MMC/MMCplus/HD MMCplus,USB 2.0 (480 Mbit/sec),No,No,Battery Pack,Lithium-Ion NB-6L battery & charger,260,160 g (0.35 lb / 5.64 oz),86 x 55 x 22 mm (3.39 x 2.17 x 0.87″),Yes,None,,,,,,,,,,,,,,,,
Canon PowerShot SD780 IS (Digital IXUS 100 IS),https://www.dpreview.com/products/canon/compacts/canon_sd780is/specifications,Ultracompact,4000 x 3000,"4000 x 2248, 3264 x 2448, 2592 x 1944, 1600 x 1200, 640 x 480, 320 x 140","4:3, 16:9",12 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto, 80 ,100, 200, 400, 800, 1600",6,Yes,Optical,No,"Fine, Normal",33–100 mm,3×,F3.2–5.8,Contrast Detect (sensor)Multi-areaSingleFace DetectionLive View,Yes (4x),No,3 cm (1.18″),9,Fixed,2.5″,230000,No,No,Optical (tunnel),15 sec,1/1500 sec,No,No,No,Yes,Yes,3.50 m,No,"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",0.8 fps,"Yes (2, 10, Custom, Face)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (30 fps), 640 x 480 (30 fps), 320 x 240 (30 fps)","MPEG-4, H.264",Mono,None,SD/SDHC/MMC/MMCplus/HD MMCplus,USB 2.0 (480 Mbit/sec),Yes,No,Battery Pack,Lithium-Ion NB-4L battery & charger,155 g (0.34 lb / 5.47 oz),87 x 56 x 18 mm (3.43 x 2.2 x 0.71″),Yes,None,,,,,,,,,,,,,,,,
Canon PowerShot A2100 IS,https://www.dpreview.com/products/canon/compacts/canon_a2100is/specifications,Compact,4000 x 3000,"4000 x 2248, 3264 x 2448, 2592 x 1944, 1600 x 1200, 640 x 480, 320 x 140","4:3, 16:9",12 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto, 80 ,100, 200, 400, 800, 1600",Optical,No,"Super-Fine, Fine, Normal",36–216 mm,6×,F3.2–5.9,Contrast Detect (sensor)Multi-areaSingleFace DetectionLive View,Yes (4x),No,1 cm (0.39″),9,Fixed,3″,230000,No,Yes,None,15 sec,1/1600 sec,No,No,No,Yes,Yes,3.50 m,No,"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",1.1 fps,"Yes (2, 10, Custom, Face)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps), 320  x 240 (30 fps)",Motion JPEG,Mono,SD/SDHC/MMC/MMCplus/HD MMCplus,128 MB,USB 2.0 (480 Mbit/sec),No,No,AA,2 x AA Alkaline or NiMH Batteries (Alkalines supplied),185 g (0.41 lb / 6.53 oz),102 x 64 x 32 mm (4.02 x 2.52 x 1.26″),Yes,,,,,,,,,,,,,,,,,,,
Canon PowerShot A1100 IS,https://www.dpreview.com/products/canon/compacts/canon_a1100is/specifications,Compact,4000 x 3000,"4000 x 2248, 3264 x 2448, 2592 x 1944, 1600 x 1200, 640 x 480, 320 x 140","4:3, 16:9",12 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,Digic 4,"Auto, 80 ,100, 200, 400, 800, 1600",Optical,No,"Super-Fine, Fine, Normal",35–140 mm,4×,F2.7–5.6,Contrast Detect (sensor)Multi-areaSingleFace DetectionLive View,Yes (4x),No,3 cm (1.18″),9,Fixed,2.5″,115000,No,Yes,Optical (tunnel),15 sec,1/1600 sec,No,No,No,Yes,Yes,4.00 m,No,"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",1.1 fps,"Yes (2, 10, Custom, Face)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps), 320  x 240 (30 fps)",Motion JPEG,Mono,None,SD/SDHC/MMC/MMCplus/HD MMCplus,128 MB,USB 2.0 (480 Mbit/sec),No,No,AA,2 x AA Alkaline or NiMH Batteries (Alkalines supplied),150 g (0.33 lb / 5.29 oz),95 x 62 x 31 mm (3.74 x 2.44 x 1.22″),Yes,None,,,,,,,,,,,,,,,,
Canon PowerShot A480,https://www.dpreview.com/products/canon/compacts/canon_a480/specifications,Ultracompact,3648 x 2736,"2816 x 2112, 2272 x 1704, 1600 x 1200, 640 x 480, 3648 x 2048, 320 x 240","4:3, 16:9",10 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto, 80, 100, 200, 400, 800, 1600",5,Yes,No,No,37–122 mm,3.3×,F3–5.8,Contrast Detect (sensor)SingleLive View,Yes (4x),No,1 cm (0.39″),5,Fixed,2.5″,115000,No,No,None,15 sec,1/2000 sec,No,No,No,Yes,Yes,3.00 m,No,"Auto, On, Off, Red-Eye reduction, Slow Sync",0.8 fps,"Yes (2 or 10 sec, custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps), 320  x 240 (30 fps)",Mono,"SC/SDHC/MMC/MMCplus, internal",32 MB,USB 2.0 (480 Mbit/sec),AA,2 x AA Alkaline or NiMH Batteries (Alkalines supplied),140 g (0.31 lb / 4.94 oz),92 x 62 x 31 mm (3.62 x 2.44 x 1.22″),No,,,,,,,,,,,,,,,,,,,,,
Canon PowerShot SX10 IS,https://www.dpreview.com/products/canon/compacts/canon_sx10is/specifications,SLR-like (bridge),3648 x 2736,"2816 x 2112, 2272 x 1704, 1600 x 1200, 640 x 480, 3648 x 2048","4:3, 16:9",10 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto, 80 ,100, 200, 400, 800, 1600",6,Yes,Optical,No,"Super-Fine, Fine, Normal",28–560 mm,20×,F2.8–5.7,Contrast Detect (sensor)Multi-areaSingleFace DetectionLive View,Yes (4x),Yes,0 cm (0″),9,Fully articulated,2.5″,230000,No,Yes,Electronic,15 sec,1/3200 sec,Yes,Yes,Yes,Yes,Yes (pop-up),5.20 m,Yes (hot-shoe),"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",0.7 fps,Yes (2 or 10 sec or custom),MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps), 320 x 240 (60, 30 fps)",H.264,Stereo,SD/SDHC/MMC card,USB 2.0 (480 Mbit/sec),No,No,No,AA,AA batteries (NiMH recommended),600 g (1.32 lb / 21.16 oz),128 x 88 x 87 mm (5.04 x 3.46 x 3.43″),Yes,No,None,,,,,,,,,,,,,,,
Canon PowerShot SX1 IS,https://www.dpreview.com/products/canon/compacts/canon_sx1is/specifications,SLR-like (bridge),3648 x 2736,"2816 x 2112, 2272 x 1704, 1600 x 1200, 640 x 480, 3840 x 2160, 1920 x 1080","4:3, 3:2, 16:9",10 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CMOS,"Auto, 80 ,100, 200, 400, 800, 1600",6,Yes,Optical,RAW,"Super-Fine, Fine, Normal",28–560 mm,20×,F2.8–5.7,Contrast Detect (sensor)Multi-areaSingleFace DetectionLive View,Yes (4x),Yes,50 cm (19.69″),0 cm (0″),9,Fully articulated,2.8″,230000,No,Yes,Electronic,15 sec,1/3200 sec,Yes,Yes,Yes,Yes,Yes (pop-up),5.20 m,Yes (hot-shoe),"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",4.0 fps,Yes (2 or 10 sec or custom),MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1920 x 1080 (30 fps), 640 x 480 (30 fps), 320 x 240 (60, 30 fps)","MPEG-4, H.264",Stereo,SD/SDHC/MMC card,32 MB SD card,USB 2.0 (480 Mbit/sec),Yes,Yes,No,AA,AA batteries (NiMH recommended),615 g (1.36 lb / 21.69 oz),128 x 88 x 88 mm (5.04 x 3.46 x 3.46″),Yes,No,None,,,,,,,,,,,,,
Canon PowerShot G10,https://www.dpreview.com/products/canon/compacts/canon_g10/specifications,Compact,4416 x 3312,"3648 x 2736, 3072 x 2304, 2560 x 1920, 2048 x 1536, 1600 x 1200, 640 x 480, 4416 x 2480","4:3, 3:2, 16:9",15 megapixels,15 megapixels,"1/1.7"" (7.44 x 5.58 mm)",CCD,"Auto, 80 ,100, 200, 400, 800, 1600",6,Yes,Optical,RAW,"Super-Fine, Fine, Normal",28–140 mm,5×,F2.8–4.5,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (4x),Yes,1 cm (0.39″),9,Fixed,3″,461000,No,Yes,Optical (tunnel),15 sec,1/4000 sec,Yes,Yes,Yes,Yes,Yes,4.60 m,Yes (Hot-shoe),"Auto, On, Off, Red-Eye, Slow Sync, Fill-in",0.7 fps,Yes (2 or 10 sec or custom),MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps), 320  x 240 (30 fps)",H.264,SD/SDHC/MMC card,Unknown,USB 2.0 (480 Mbit/sec),No,Yes (Optional (RS60-E3)),No,Battery Pack,Lithium-Ion NB-7L rechargeable battery & charger,390 g (0.86 lb / 13.76 oz),109 x 78 x 46 mm (4.29 x 3.07 x 1.81″),Yes,No,,,,,,,,,,,,,,,
Canon EOS 5D Mark II,https://www.dpreview.com/products/canon/slrs/canon_eos5dmkii/specifications,Mid-size SLR,5616 x 3744,"4080 x 2720, 2784 x 1856, 5616 x 3744, 3861 x 2574, 2784 x 1856",3:2,21 megapixels,22 megapixels,Full frame (36 x 24 mm),CMOS,Digic 4,"Auto, 100 - 6400 in 1/3 stops, plus 50, 12800, 25600 as option",50,25600,6,Yes (1),No,RAW,"Fine, Normal",Contrast Detect (sensor)Phase DetectMulti-areaSelective single-pointSingleContinuousFace DetectionLive View,No,Yes,9,Canon EF,1×,Fixed,3″,920000,No,TFT liquid-crystal color LCD,Yes,Optical (pentaprism),98%,0.71×,30 sec,1/8000 sec,Yes,Yes,Yes,No,No,"Yes (Hot-shoe, Wireless plus Sync connector)",3.9 fps,Yes (2 or 10 sec),MultiCenter-weightedSpot,"±2 (at 1/3 EV, 1/2 EV steps)","±2 (3 frames at 1/3 EV, 1/2 EV steps)",Yes (3 frames in either blue/amber or magenta/green axis),"1920 x 1080 (30 fps), 640 x 480 (30 fps)",H.264,Mono,Mono,"Compact Flash (Type I or II), UDMA, Microdrive",None,USB 2.0 (480 Mbit/sec),Yes (HDMI mini),Yes,No,(Optional),Yes (N3 connector),Yes,Battery Pack,Lithium-Ion LP-E6 rechargeable battery & charger,850,850 g (1.87 lb / 29.98 oz),152 x 114 x 75 mm (5.98 x 4.49 x 2.95″),Yes,Yes (by cable and PC),None,,,,
Canon PowerShot SD880 IS (Digital IXUS 870 IS),https://www.dpreview.com/products/canon/compacts/canon_sd880is/specifications,Ultracompact,3648 x 2736,"2816 x 2112, 2272 x 1704, 1600 x 1200, 640 x 480, 3648 x 2048","4:3, 3:2",10 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto, 80 ,100, 200, 400, 800, 1600",5,Yes,Optical,No,"Super-Fine, Fine, Normal",28–112 mm,4×,F2.8–5.8,Contrast Detect (sensor)Multi-areaSingleFace DetectionLive View,Yes (4 x),No,2 cm (0.79″),Fixed,3″,230000,No,No,None,15 sec,1/1600 sec,No,No,No,Yes,Yes,4.20 m,No,"Auto, On, Off, Slow, Manual (Red Eye On/Off)",1.4 fps,Yes (2 or 10 sec),MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps), 320 x 240 (30 fps), 160 x 120 (15 fps)",Motion JPEG,SD/SDHC/MMC card,32 MB SD card,USB 2.0 (480 Mbit/sec),No,No,No,Battery Pack,Lithium-Ion NB-5L battery & charger,195 g (0.43 lb / 6.88 oz),94 x 57 x 24 mm (3.7 x 2.24 x 0.94″),Yes,No,,,,,,,,,,,,,,,,,
Canon PowerShot SD990 IS (Digital IXUS 980 IS),https://www.dpreview.com/products/canon/compacts/canon_sd990is/specifications,Ultracompact,4416 x 3312,"3648 x 2736, 3072 x 2304, 2560 x 1920, 2048 x 1536, 1600 x 1200, 640 x 480, 4416 x 2480","4:3, 3:2, 16:9",15 megapixels,"1/1.7"" (7.44 x 5.58 mm)",CCD,"Auto, 80 ,100, 200, 400, 800, 1600",5,Yes,Optical,No,"Super-Fine, Fine, Normal",36–133 mm,3.7×,F2.8–5.8,Contrast Detect (sensor)Multi-areaSingleFace DetectionLive View,Yes (4 x),No,50 cm (19.69″),5 cm (1.97″),Fixed,2.5″,230000,No,No,Optical (tunnel),15 sec,1/1600 sec,No,No,No,Yes,Yes,4.60 m,No,"Auto, On, Off, Slow, Manual (Red Eye On/Off)",1.3 fps,Yes (2 or 10 sec),MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps), 320 x 240 (30 fps), 160 x 120 (15 fps)",Motion JPEG,SD/SDHC/MMC card,32 MB SD card,USB 2.0 (480 Mbit/sec),No,No,No,Battery Pack,Lithium-Ion NB-5L battery & charger,205 g (0.45 lb / 7.23 oz),98 x 62 x 28 mm (3.86 x 2.44 x 1.1″),Yes,Yes,,,,,,,,,,,,,,,,
Canon PowerShot A1000 IS,https://www.dpreview.com/products/canon/compacts/canon_a1000is/specifications,Compact,3648 x 2756,"2816 x 2112, 2272 x 1704, 1600 x 1200, 640 x 480",10 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto, 80 ,100, 200, 400, 800, 1600",6,Yes,Optical,Unknown,"Super-Fine, Fine, Normal",35–140 mm,4×,F2.7–5.6,Contrast Detect (sensor)Multi-areaCenterSingleLive View,Yes (4x),No,3 cm (1.18″),9,Fixed,2.5″,115000,No,Yes,Optical (tunnel),15 sec,1/1600 sec,No,No,Yes,Yes,4.00 m,No,"Auto, On, Off, Manual (Red Eye On/Off)",1.3 fps,Yes (2 or 10 sec),MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps) ,640 x 480 (30 fps), 320 x 240 (30 fps)",None,SD/SDHC/MMC card,32 MB SD card,USB 2.0 (480 Mbit/sec),No,No,No,AA,AA (2) NiMH batteries,155 g (0.34 lb / 5.47 oz),96 x 63 x 31 mm (3.78 x 2.48 x 1.22″),Yes,No,None,,,,,,,,,,,,,,,,,
Canon PowerShot A2000 IS,https://www.dpreview.com/products/canon/compacts/canon_a2000is/specifications,Compact,3648 x 2756,"2816 x 2112, 2272 x 1704, 1600 x 1200, 640 x 480",10 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto, 80 ,100, 200, 400, 800, 1600",6,Yes,"Super-Fine, Fine, Normal",36–216 mm,6×,F3.2–5.9,Contrast Detect (sensor)Multi-areaCenterSingleLive View,Yes (4x),No,1 cm (0.39″),9,Fixed,3″,230000,No,Yes,None,15 sec,1/1600 sec,No,No,Yes,Yes,3.50 m,No,"Auto, On, Off, Manual (Red Eye On/Off)",1.3 fps,Yes (2 or 10 sec),MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 @ 30/15 fps, 320 x 240 @ 60/30/15 fps",SD/SDHC/MMC card,32 MB SD card,USB 2.0 (480 Mbit/sec),No,No,No,190 g (0.42 lb / 6.70 oz),101 x 64 x 32 mm (3.98 x 2.52 x 1.26″),Yes,No,,,,,,,,,,,,,,,,,,,,,,,
Canon PowerShot E1,https://www.dpreview.com/products/canon/compacts/canon_e1/specifications,Compact,3648 x 2756,"2816 x 2112, 2272 x 1704, 1600 x 1200, 640 x 480",10 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto, 80 ,100, 200, 400, 800, 1600",6,Yes,"Super-Fine, Fine, Normal",35–140 mm,4×,F2.7–5.6,Contrast Detect (sensor)Multi-areaCenterSingleLive View,Yes (4x),No,3 cm (1.18″),9,Fixed,2.5″,115000,No,Yes,Optical (tunnel),15 sec,1/1600 sec,No,No,Yes,Yes,4.00 m,No,"Auto, On, Off, Manual (Red Eye On/Off)",1.3 fps,Yes (2 or 10 sec),MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 @ 30/15 fps, 320 x 240 @ 60/30/15 fps",SD/SDHC/MMC card,32 MB CompactFlash,USB 2.0 (480 Mbit/sec),No,No,No,160 g (0.35 lb / 5.64 oz),101 x 64 x 32 mm (3.98 x 2.52 x 1.26″),Yes,No,,,,,,,,,,,,,,,,,,,,,,,
Canon PowerShot SX110 IS,https://www.dpreview.com/products/canon/compacts/canon_sx110is/specifications,Compact,3456 x 2592,"3264 x 2248, 2592 x 1944, 2048 x 1536, 1600 x 1200, 640 x 480, 3456 x 1944","4:3, 3:2",9 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto, 80 ,100, 200, 400, 800, 1600",6,Yes,Optical,No,"Super-Fine, Fine, Normal",36–360 mm,10×,F2.8–4.3,Contrast Detect (sensor)SingleLive View,Yes (4x),Yes,1 cm (0.39″),Fixed,3″,230000,No,Yes,None,15 sec,1/2500 sec,Yes,Yes,Yes,Yes,Yes (pop-up),3.00 m,No,"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",0.7 fps,Yes (2 or 10 sec or custom),MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 @ 30 fps, 320 x 240 @ 30 fps, 160 x 120 @ 15 fps",SD/SDHC/MMC card,32 MB SD card,USB 2.0 (480 Mbit/sec),No,No,No,AA,AA (2) batteries (NiMH recommended),285 g (0.63 lb / 10.05 oz),111 x 71 x 45 mm (4.37 x 2.8 x 1.77″),Yes,No,,,,,,,,,,,,,,,,,,
